City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.54,71,24,12.82,few clouds
1,Poum,NC,-20.2333,164.0167,78.89,77,5,12.97,clear sky
2,Mataura,NZ,-46.1927,168.8643,47.48,95,100,7.49,light rain
3,Quatre Cocos,MU,-20.2078,57.7625,75.09,63,26,15.37,scattered clouds
4,Georgetown,MY,5.4112,100.3354,87.73,70,20,6.91,few clouds
5,Palauig,PH,15.435,119.9045,86.97,67,98,5.77,overcast clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,67.75,77,7,9.95,clear sky
7,Albany,US,42.6001,-73.9662,71.64,74,88,1.99,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,46.06,49,75,11.5,broken clouds
9,Cabo San Lucas,MX,22.8909,-109.9124,87.1,70,43,12.88,scattered clouds
10,Hilo,US,19.7297,-155.09,80.33,75,20,5.75,few clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,0,4.0,clear sky
12,Hithadhoo,MV,-0.6,73.0833,81.97,72,97,4.18,overcast clouds
13,Guayaramerin,BO,-10.8368,-65.3614,74.75,78,90,1.34,overcast clouds
14,Roma,US,43.2128,-75.4557,73.54,63,75,11.5,broken clouds
15,Cockburn Town,TC,21.4612,-71.1419,81.34,82,17,18.52,few clouds
16,Castro,BR,-24.7911,-50.0119,50.43,90,9,1.95,clear sky
17,Atuona,PF,-9.8,-139.0333,77.88,69,68,19.24,broken clouds
18,Lazaro Cardenas,MX,17.9583,-102.2,80.24,83,100,15.73,overcast clouds
19,Busselton,AU,-33.65,115.3333,66.56,71,47,16.35,scattered clouds
20,Olafsvik,IS,64.8945,-23.7142,48.06,70,93,13.73,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,20.71,broken clouds
22,Camacha,PT,33.0833,-16.3333,63.82,72,40,9.22,scattered clouds
23,Broken Hill,AU,-31.95,141.4333,60.91,51,12,10.22,few clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,13,3.0,few clouds
25,Piney Green,US,34.716,-77.3202,78.73,76,0,9.22,clear sky
26,Novoorsk,RU,51.381,58.9813,70.45,46,0,5.39,clear sky
27,Korla,CN,41.7597,86.1469,93.04,15,59,15.35,broken clouds
28,Kautokeino,NO,69.0125,23.0412,43.86,75,100,14.74,overcast clouds
29,Maria La Baja,CO,9.9832,-75.3016,75.36,94,100,0.4,overcast clouds
30,Amazar,RU,53.858,120.875,76.93,27,95,4.05,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,72.95,67,82,9.13,broken clouds
32,Gladstone,AU,-23.85,151.25,76.93,50,40,4.61,scattered clouds
33,Dikson,RU,73.5069,80.5464,35.46,87,70,6.78,broken clouds
34,Narsaq,GL,60.9167,-46.05,44.82,66,2,1.63,clear sky
35,Buala,SB,-8.145,159.5921,82.85,74,81,8.75,light rain
36,Carnarvon,AU,-24.8667,113.6333,74.03,74,94,4.18,overcast clouds
37,Bredasdorp,ZA,-34.5322,20.0403,44.31,81,40,3.83,scattered clouds
38,Ozernovskiy,RU,51.5,156.5167,55.15,62,80,16.26,broken clouds
39,Mount Gambier,AU,-37.8333,140.7667,53.51,87,100,10.36,overcast clouds
40,Khor,RU,47.8861,134.9464,75.27,58,19,5.08,few clouds
41,Jamestown,US,42.097,-79.2353,76.05,91,55,5.19,broken clouds
42,New Castle,US,41.0037,-80.347,81.73,86,0,4.61,clear sky
