City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mataura,NZ,47.48,light rain,-46.1927,168.8643,Ellie's Villa
6,Arraial Do Cabo,BR,67.75,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatross Hotel
11,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
16,Castro,BR,50.43,clear sky,-24.7911,-50.0119,CHACARA BAILLY
19,Busselton,AU,66.56,scattered clouds,-33.65,115.3333,Observatory Guest House
20,Olafsvik,IS,48.06,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
21,Punta Arenas,CL,42.91,broken clouds,-53.15,-70.9167,Hotel Hain
22,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
23,Broken Hill,AU,60.91,few clouds,-31.95,141.4333,Royal Exchange Hotel
28,Kautokeino,NO,43.86,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
34,Narsaq,GL,44.82,clear sky,60.9167,-46.05,Sleep In Narsaq
37,Bredasdorp,ZA,44.31,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
39,Mount Gambier,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
43,Hermanus,ZA,44.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Kruisfontein,ZA,44.89,few clouds,-34.0033,24.7314,Oyster Bay House Rental
51,Cherskiy,RU,62.65,few clouds,68.75,161.3,Gostinitsa
54,Tibati,CM,64.9,light rain,6.4667,12.6333,Tibati Hotel
55,Tuatapere,NZ,47.5,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
56,Ust-Nera,RU,60.53,overcast clouds,64.5667,143.2,Hotel Ust-Nera
63,Mar Del Plata,AR,46.94,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
64,Necochea,AR,47.79,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
65,Bluff,NZ,47.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
68,East Islip,US,67.17,broken clouds,40.732,-73.1857,Residence Inn by Marriott Long Island Islip/Courthouse Complex
69,Ornskoldsvik,SE,56.14,overcast clouds,63.2909,18.7153,ファーストホテル スタット
71,Tuktoyaktuk,CA,41.0,few clouds,69.4541,-133.0374,End of The Road Ltd.
74,Port Hardy,CA,51.98,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
75,Thunder Bay,CA,54.28,fog,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
76,Lebane,RS,52.39,clear sky,42.9239,21.7375,Teodora
78,Hobart,AU,53.46,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
79,Ulaanbaatar,MN,69.93,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
80,Cape Town,ZA,55.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
81,Nikolskoye,RU,57.79,few clouds,59.7035,30.7861,Tourist House - Sablino
82,Katsuura,JP,69.82,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
83,La Ronge,CA,59.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
