City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,68.41,83,100,7.81,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,53.8,48,27,7.34,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,72.5,64,64,1.68,broken clouds
3,Ushuaia,AR,-54.8,-68.3,24.01,95,79,4.34,broken clouds
4,Upernavik,GL,72.7868,-56.1549,32.76,78,1,7.09,clear sky
5,Thompson,CA,55.7435,-97.8558,46.56,71,40,11.5,scattered clouds
6,Petropavlovka,RU,50.6114,105.3196,73.15,53,33,2.28,scattered clouds
7,New Norfolk,AU,-42.7826,147.0587,51.93,74,100,3.53,overcast clouds
8,Saint George,US,37.1041,-113.5841,102.25,6,0,11.5,clear sky
9,Hithadhoo,MV,-0.6,73.0833,81.73,74,100,9.37,overcast clouds
10,Mahebourg,MU,-20.4081,57.7,70.25,94,20,5.75,few clouds
11,Qaanaaq,GL,77.484,-69.3632,32.25,80,17,3.74,few clouds
12,Portland,US,45.5234,-122.6762,69.49,58,75,10.36,broken clouds
13,Acapulco,MX,16.8634,-99.8901,76.82,83,100,0.0,overcast clouds
14,Pevek,RU,69.7008,170.3133,33.85,79,16,9.95,few clouds
15,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,5,7.7,clear sky
16,Pisco,PE,-13.7,-76.2167,63.01,77,3,8.05,mist
17,Cidreira,BR,-30.1811,-50.2056,62.17,84,100,10.85,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,33.91,75,75,23.02,broken clouds
19,Tuatapere,NZ,-46.1333,167.6833,46.99,73,7,0.27,clear sky
20,Busselton,AU,-33.65,115.3333,67.08,77,1,24.49,clear sky
21,Cape Town,ZA,-33.9258,18.4232,59.34,49,60,4.0,broken clouds
22,East London,ZA,-33.0153,27.9116,53.82,55,76,9.8,broken clouds
23,Henties Bay,NA,-22.116,14.2845,57.79,75,2,9.13,clear sky
24,Avarua,CK,-21.2078,-159.775,78.85,69,100,5.75,overcast clouds
25,Klaksvik,FO,62.2266,-6.589,50.92,99,100,22.06,light rain
26,Dunedin,NZ,-45.8742,170.5036,50.81,52,14,7.0,few clouds
27,Dahuk,IQ,36.8695,42.994,75.94,28,0,4.16,clear sky
28,Yuma,US,32.7253,-114.6244,108.37,9,0,12.66,clear sky
29,Longonjo,AO,-12.9067,15.2533,51.62,32,5,2.62,clear sky
30,Waipawa,NZ,-41.4122,175.5153,48.31,79,100,3.49,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,46.47,71,7,2.08,clear sky
32,Atuona,PF,-9.8,-139.0333,78.13,68,0,19.77,clear sky
33,Kodiak,US,57.79,-152.4072,56.71,67,100,9.22,overcast clouds
34,Hilo,US,19.7297,-155.09,80.33,70,100,8.05,overcast clouds
35,Joshimath,IN,30.5667,79.5667,69.73,71,92,2.46,overcast clouds
36,Bud,US,39.447,-86.1758,86.02,81,47,7.29,scattered clouds
37,Tiznit,MA,29.5833,-9.5,69.49,55,0,1.14,clear sky
38,Benxi,CN,41.2886,123.765,75.52,61,100,7.31,overcast clouds
39,Kahului,US,20.8947,-156.47,84.22,61,40,24.16,scattered clouds
40,Buta,CD,2.7858,24.73,68.68,99,100,0.43,overcast clouds
41,Kapaa,US,22.0752,-159.319,82.38,85,100,17.27,light rain
42,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,53,7.0,broken clouds
43,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,1.12,light rain
44,Barrow,US,71.2906,-156.7887,50.02,66,0,9.22,clear sky
45,Medicine Hat,CA,50.0501,-110.6683,71.22,54,99,4.0,overcast clouds
46,Coihaique,CL,-45.5752,-72.0662,38.01,75,75,3.44,broken clouds
47,Samarai,PG,-10.6167,150.6667,81.66,78,69,8.72,broken clouds
48,Jalu,LY,29.0331,21.5482,77.86,40,2,12.57,clear sky
49,Ferkessedougou,CI,9.6,-5.2,71.49,94,60,7.07,broken clouds
50,Harper,LR,4.375,-7.7169,76.32,88,100,10.27,moderate rain
51,Jamestown,US,42.097,-79.2353,76.71,89,0,8.01,clear sky
52,Beringovskiy,RU,63.05,179.3167,46.42,72,15,5.55,few clouds
53,Bluff,NZ,-46.6,168.3333,46.8,65,13,1.72,few clouds
54,Baherden,TM,38.4362,57.4316,82.4,43,1,5.3,clear sky
55,Butaritari,KI,3.0707,172.7902,82.71,75,20,14.07,light rain
56,Hajduszoboszlo,HU,47.45,21.4,68.11,60,0,13.8,clear sky
57,Bethel,US,41.3712,-73.414,67.5,90,100,6.91,overcast clouds
58,Pachmarhi,IN,22.4667,78.4333,70.32,84,100,3.27,overcast clouds
59,Yar-Sale,RU,66.8333,70.8333,54.99,47,27,8.12,scattered clouds
